,fid,nunivotcda,cocursodag,cocdadesag,max
20498,8914,10.0,8631929416,86319294,
20499,8915,11.0,86319294162,8631929416,
20500,8916,9.0,863192946,86319294,
20501,8916,9.0,863192946,86319294,
20502,8916,9.0,863192946,86319294,
20503,8917,10.0,8631929418,86319294,
20504,8917,10.0,8631929418,86319294,
20505,8918,9.0,863192942,86319294,
20506,8918,9.0,863192942,86319294,
20507,8919,10.0,8631929512,863192,
20508,8919,10.0,8631929512,863192,
20509,8920,11.0,86319295122,8631929512,
20510,8921,9.0,863192944,86319294,
20511,8921,9.0,863192944,86319294,
20512,8921,9.0,863192944,86319294,
20513,8922,10.0,8631929442,863192944,
20514,8922,10.0,8631929442,863192944,
20515,8922,10.0,8631929442,863192944,
20516,8923,10.0,8631929452,86319294,
20517,8923,10.0,8631929452,86319294,
20518,8924,10.0,8631929462,863192946,
20519,8924,10.0,8631929462,863192946,
20520,8925,9.0,863192948,86319294,
20521,8925,9.0,863192948,86319294,
20522,8926,10.0,8631929492,86319294,
20523,8926,10.0,8631929492,86319294,
20524,8927,11.0,86319295112,863192,
20525,8928,11.0,86319295114,863192,
20526,8929,11.0,86319295132,863192,
20527,8930,11.0,86319295134,863192,
20528,8931,11.0,86319295136,863192,
20529,8932,11.0,86319295138,863192,
20530,8933,10.0,8631929514,863192,
20531,8933,10.0,8631929514,863192,
20532,8934,11.0,86319295152,863192,
20533,8935,10.0,8631929516,863192,
20534,8935,10.0,8631929516,863192,
20535,8936,11.0,86319295172,863192,
20536,8937,11.0,86319295174,863192,
20537,8938,10.0,8631929518,863192,
20538,8938,10.0,8631929518,863192,
20539,8939,11.0,86319295192,863192,
20540,8940,12.0,863192951922,86319295192,
20541,8941,11.0,86319295194,863192,
20542,8942,11.0,86319295196,863192,
20543,8943,11.0,86319295322,8631929532,
20544,8944,11.0,86319295332,863192,
20545,8945,11.0,86319314692,863193146,
20546,8946,9.0,863192952,863192,
20547,8946,9.0,863192952,863192,
20548,8946,9.0,863192952,863192,
20549,8946,9.0,863192952,863192,
20550,8946,9.0,863192952,863192,
20551,8946,9.0,863192952,863192,
20552,8947,10.0,8631929522,863192952,
20553,8947,10.0,8631929522,863192952,
20554,8948,11.0,86319295222,8631929522,
20555,8949,10.0,8631929524,863192952,
20556,8949,10.0,8631929524,863192952,
20557,8950,11.0,86319314642,8631931464,
20558,8951,11.0,86319295242,8631929524,
20559,8952,11.0,86319295252,863192952,
20560,8953,10.0,8631929526,863192952,
20561,8953,10.0,8631929526,863192952,
20562,8953,10.0,8631929526,863192952,
20563,8954,10.0,8631929528,863192952,
20564,8954,10.0,8631929528,863192952,
20565,8955,11.0,86319295312,863192,
20566,8956,11.0,86319295314,863192,
20567,8957,10.0,8631929532,863192,
20568,8958,11.0,86319295334,863192,
20569,8959,11.0,86319295336,863192,
20570,8960,11.0,86319295338,863192,
20571,8961,10.0,8631929534,863192,
20572,8962,11.0,86319295352,863192,
20573,8963,12.0,863192953522,86319295352,
20574,8964,12.0,863192953532,863192,
20575,8965,11.0,86319295354,863192,
20576,8966,12.0,863192953542,86319295354,
20577,8967,11.0,86319295356,863192,
20578,8968,11.0,86319295358,863192,
20579,8969,10.0,8631929536,863192,
20580,8969,10.0,8631929536,863192,
20581,8970,11.0,86319295362,8631929536,
20582,8971,12.0,863192953714,863192,
20583,8972,11.0,86319295372,863192,
20584,8973,11.0,86319295374,863192,
20585,8974,12.0,863192953742,86319295374,
20586,8975,12.0,863192953744,86319295374,
20587,8976,11.0,86319295376,863192,
20588,8977,11.0,86319295378,863192,
20589,8978,10.0,8631929538,863192,
20590,8978,10.0,8631929538,863192,
20591,8979,11.0,86319295382,8631929538,
20592,8980,9.0,863192954,863192,
20593,8980,9.0,863192954,863192,
20594,8980,9.0,863192954,863192,
20595,8981,10.0,8631929542,863192954,
20596,8981,10.0,8631929542,863192954,
20597,8982,11.0,86319295512,863192,
20598,8983,11.0,86319295514,863192,
20599,8984,11.0,86319295516,863192,
20600,8985,10.0,8631929552,863192,
20601,8985,10.0,8631929552,863192,
20602,8986,11.0,86319295522,8631929552,
20603,8987,11.0,86319295532,863192,
20604,8988,11.0,86319295534,863192,
20605,8989,10.0,8631929554,863192,
20606,8989,10.0,8631929554,863192,
20607,8990,10.0,8631929556,863192,
20608,8990,10.0,8631929556,863192,
20609,8991,10.0,8631929558,863192,
20610,8991,10.0,8631929558,863192,
20611,8992,11.0,86319295592,863192,
20612,8993,9.0,863192956,863192,
20613,8993,9.0,863192956,863192,
20614,8994,10.0,8631929572,863192,
20615,8994,10.0,8631929572,863192,
20616,8995,10.0,8631929574,863192,
20617,8995,10.0,8631929574,863192,
20618,8996,10.0,8631929576,863192,
20619,8996,10.0,8631929576,863192,
20620,8997,10.0,8631929692,86319296,
20621,8997,10.0,8631929692,86319296,
20622,8997,10.0,8631929692,86319296,
20623,8998,10.0,8631929712,863192,
20624,8998,10.0,8631929712,863192,
20625,8999,9.0,863192958,863192,
20626,8999,9.0,863192958,863192,
20627,8999,9.0,863192958,863192,
20628,9000,10.0,8631929582,863192958,
20629,9000,10.0,8631929582,863192958,
20630,9001,9.0,863192964,86319296,
20631,9001,9.0,863192964,86319296,
20632,9002,10.0,8631929652,86319296,
20633,9002,10.0,8631929652,86319296,
20634,9003,9.0,863192966,86319296,
20635,9003,9.0,863192966,86319296,
20636,9004,10.0,8631929794,863192,
20637,9004,10.0,8631929794,863192,
20638,9004,10.0,8631929794,863192,
20639,9005,10.0,8631929796,863192,
20640,9005,10.0,8631929796,863192,
20641,9006,10.0,8631931464,863193146,
20642,9006,10.0,8631931464,863193146,
20643,9007,9.0,863192968,86319296,
20644,9007,9.0,863192968,86319296,
20645,9007,9.0,863192968,86319296,
20646,9008,8.0,86319296,863192,
20647,9008,8.0,86319296,863192,
20648,9008,8.0,86319296,863192,
20649,9008,8.0,86319296,863192,
20650,9008,8.0,86319296,863192,
20651,9008,8.0,86319296,863192,
20652,9008,8.0,86319296,863192,
20653,9008,8.0,86319296,863192,
20654,9008,8.0,86319296,863192,
20655,9008,8.0,86319296,863192,
20656,9008,8.0,86319296,863192,
20657,9008,8.0,86319296,863192,
20658,9008,8.0,86319296,863192,
20659,9009,10.0,8631929612,86319296,
20660,9009,10.0,8631929612,86319296,
20661,9010,10.0,8631929614,86319296,
20662,9010,10.0,8631929614,86319296,
20663,9011,9.0,863192962,86319296,
20664,9011,9.0,863192962,86319296,
20665,9012,10.0,8631929632,86319296,
20666,9012,10.0,8631929632,86319296,
20667,9013,9.0,863192972,863192,
20668,9013,9.0,863192972,863192,
20669,9014,9.0,863192974,863192,
20670,9014,9.0,863192974,863192,
20671,9015,9.0,863192976,863192,
20672,9015,9.0,863192976,863192,
20673,9015,9.0,863192976,863192,
20674,9016,10.0,8631929762,863192976,
20675,9016,10.0,8631929762,863192976,
20676,9017,9.0,863192978,863192,
20677,9017,9.0,863192978,863192,
20678,9017,9.0,863192978,863192,
20679,9018,10.0,8631929782,863192978,
20680,9018,10.0,8631929782,863192978,
20681,9018,10.0,8631929782,863192978,
20682,9019,10.0,8631929792,863192,
20683,9020,11.0,86319299364,8631929936,
20684,9021,11.0,86319299122,8631929912,
20685,9022,9.0,863192992,863192,
20686,9022,9.0,863192992,863192,
20687,9022,9.0,863192992,863192,
20688,9022,9.0,863192992,863192,
20689,9023,10.0,8631929922,863192992,
20690,9023,10.0,8631929922,863192992,
20691,9024,8.0,86319298,863192,
20692,9024,8.0,86319298,863192,
20693,9024,8.0,86319298,863192,
20694,9024,8.0,86319298,863192,
20695,9024,8.0,86319298,863192,
20696,9024,8.0,86319298,863192,
